Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-07-10	73	52	71.2	0	0.0	0	0
2020-05-24	85	64	75.3	7	8.2	4	57.1
2020-06-17	73	49	67.1	2	2.7	2	100.0
2020-06-28	65	51	78.5	0	0.0	0	0
2020-06-18	73	55	75.3	0	0.0	0	0
2020-05-30	63	46	73.0	5	7.9	3	60.0
2020-04-27	81	67	82.7	14	17.3	11	78.6
2020-06-13	73	50	68.5	3	4.1	2	66.7
2020-06-11	73	49	67.1	3	4.1	2	66.7
2020-07-04	73	53	72.6	1	1.4	1	100.0
2020-05-25	73	51	69.9	5	6.8	3	60.0
2020-06-22	73	52	71.2	0	0.0	0	0
2020-06-14	73	48	65.8	3	4.1	2	66.7
2020-05-11	79	58	73.4	11	13.9	4	36.4
2020-05-21	85	66	77.6	10	11.8	4	40.0
2020-07-08	73	55	75.3	0	0.0	0	0
2020-06-07	73	49	67.1	3	4.1	2	66.7
2020-06-03	73	53	72.6	6	8.2	4	66.7
2020-06-02	73	55	75.3	7	9.6	3	42.9
2020-06-25	65	48	73.8	0	0.0	0	0
2020-05-06	81	63	77.8	14	17.3	9	64.3
2020-06-24	65	48	73.8	1	1.5	0	0.0
2020-07-09	73	53	72.6	0	0.0	0	0
2020-07-07	73	55	75.3	0	0.0	0	0
2020-05-22	85	63	74.1	7	8.2	3	42.9
2020-04-30	81	59	72.8	17	21.0	11	64.7
2020-05-14	85	65	76.5	13	15.3	4	30.8
2020-05-29	73	53	72.6	6	8.2	3	50.0
2020-05-12	81	61	75.3	16	19.8	6	37.5
2020-05-07	81	57	70.4	13	16.0	6	46.2
2020-05-16	85	65	76.5	12	14.1	5	41.7
2020-05-31	73	55	75.3	6	8.2	3	50.0
2020-05-08	81	56	69.1	11	13.6	5	45.5
2020-06-08	73	49	67.1	4	5.5	2	50.0
2020-05-23	85	65	76.5	6	7.1	3	50.0
2020-05-28	73	54	74.0	9	12.3	4	44.4
2020-07-06	73	59	80.8	1	1.4	0	0.0
2020-06-20	73	55	75.3	0	0.0	0	0
2020-06-29	65	50	76.9	1	1.5	1	100.0
2020-06-12	73	48	65.8	3	4.1	2	66.7
2020-04-28	81	58	71.6	13	16.0	10	76.9
2020-07-02	73	55	75.3	0	0.0	0	0
2020-06-21	73	53	72.6	0	0.0	0	0
2020-04-29	81	64	79.0	20	24.7	11	55.0
2020-06-30	67	50	74.6	0	0.0	0	0
2020-05-04	81	65	80.2	17	21.0	12	70.6
2020-05-17	85	65	76.5	12	14.1	5	41.7
2020-05-05	81	65	80.2	17	21.0	12	70.6
2020-05-18	83	59	71.1	12	14.5	6	50.0
2020-05-02	81	63	77.8	18	22.2	12	66.7
2020-06-16	73	48	65.8	2	2.7	2	100.0
2020-05-20	85	66	77.6	10	11.8	4	40.0
2020-06-15	73	49	67.1	2	2.7	2	100.0
2020-05-19	85	66	77.6	10	11.8	4	40.0
2020-05-27	73	55	75.3	5	6.8	3	60.0
2020-07-05	73	53	72.6	0	0.0	0	0
2020-05-10	79	58	73.4	11	13.9	4	36.4
2020-06-05	73	50	68.5	4	5.5	2	50.0
2020-06-23	65	49	75.4	0	0.0	0	0
2020-06-04	73	53	72.6	5	6.8	3	60.0
2020-06-26	65	45	69.2	0	0.0	0	0
2020-06-06	73	48	65.8	3	4.1	2	66.7
2020-05-03	81	64	79.0	18	22.2	12	66.7
2020-07-03	75	55	73.3	0	0.0	0	0
2020-06-09	73	49	67.1	4	5.5	2	50.0
2020-06-19	73	57	78.1	0	0.0	0	0
2020-06-01	73	54	74.0	6	8.2	4	66.7
2020-06-27	65	49	75.4	0	0.0	0	0
2020-07-01	67	44	65.7	0	0.0	0	0
2020-05-26	73	53	72.6	5	6.8	3	60.0
2020-05-13	81	61	75.3	13	16.0	4	30.8
2020-04-26	81	68	84.0	15	18.5	11	73.3
2020-05-01	81	59	72.8	17	21.0	11	64.7
2020-06-10	73	49	67.1	3	4.1	2	66.7
2020-05-09	71	51	71.8	10	14.1	4	40.0
2020-05-15	85	65	76.5	11	12.9	5	45.5
