Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-26	66	28	42.4	3	4.5	2	66.7
2020-04-27	66	29	43.9	3	4.5	2	66.7
2020-04-28	66	28	42.4	3	4.5	2	66.7
2020-04-29	66	37	56.1	3	4.5	2	66.7
2020-04-30	66	32	48.5	2	3.0	2	100.0
2020-05-01	66	35	53.0	2	3.0	2	100.0
2020-05-02	66	38	57.6	3	4.5	2	66.7
2020-05-03	66	38	57.6	2	3.0	2	100.0
2020-05-04	66	37	56.1	2	3.0	2	100.0
2020-05-05	66	35	53.0	2	3.0	2	100.0
2020-05-06	66	35	53.0	2	3.0	1	50.0
2020-05-07	66	38	57.6	2	3.0	1	50.0
2020-05-08	66	42	63.6	2	3.0	2	100.0
2020-05-09	66	43	65.2	2	3.0	2	100.0
2020-05-10	66	38	57.6	2	3.0	2	100.0
2020-05-11	75	36	48.0	0	0.0	0	0
2020-05-12	75	34	45.3	0	0.0	0	0
2020-05-13	62	37	59.7	0	0.0	0	0
2020-05-14	62	36	58.1	0	0.0	0	0
2020-05-15	59	38	64.4	0	0.0	0	0
2020-05-16	59	40	67.8	0	0.0	0	0
2020-05-17	58	43	74.1	0	0.0	0	0
2020-05-18	58	41	70.7	0	0.0	0	0
2020-05-19	60	41	68.3	0	0.0	0	0
2020-05-20	60	42	70.0	0	0.0	0	0
2020-05-21	60	39	65.0	0	0.0	0	0
2020-05-22	60	41	68.3	0	0.0	0	0
2020-05-23	60	44	73.3	0	0.0	0	0
2020-05-24	61	44	72.1	0	0.0	0	0
2020-05-25	60	37	61.7	0	0.0	0	0
2020-05-26	60	40	66.7	0	0.0	0	0
2020-05-27	60	43	71.7	0	0.0	0	0
2020-05-28	60	38	63.3	0	0.0	0	0
2020-05-29	62	39	62.9	0	0.0	0	0
2020-05-30	62	41	66.1	0	0.0	0	0
2020-05-31	63	41	65.1	0	0.0	0	0
2020-06-01	63	42	66.7	0	0.0	0	0
2020-06-02	64	41	64.1	0	0.0	0	0
2020-06-03	64	42	65.6	0	0.0	0	0
2020-06-04	62	43	69.4	0	0.0	0	0
2020-06-05	62	40	64.5	0	0.0	0	0
2020-06-06	62	46	74.2	0	0.0	0	0
2020-06-07	62	43	69.4	0	0.0	0	0
2020-06-08	62	46	74.2	0	0.0	0	0
2020-06-09	62	43	69.4	0	0.0	0	0
2020-06-10	62	42	67.7	0	0.0	0	0
2020-06-11	62	42	67.7	0	0.0	0	0
2020-06-12	62	38	61.3	0	0.0	0	0
2020-06-13	62	37	59.7	0	0.0	0	0
2020-06-14	62	36	58.1	0	0.0	0	0
2020-06-15	62	37	59.7	0	0.0	0	0
2020-06-16	62	38	61.3	0	0.0	0	0
2020-06-17	62	42	67.7	0	0.0	0	0
2020-06-18	62	38	61.3	0	0.0	0	0
2020-06-19	61	41	67.2	0	0.0	0	0
2020-06-20	0	0		0		0	0
2020-06-21	0	0		0		0	0
2020-06-22	0	0		0		0	0
2020-06-23	0	0		0		0	0
2020-06-24	0	0		0		0	0
2020-06-25	62	38	61.3	0	0.0	0	0
2020-06-26	61	37	60.7	0	0.0	0	0
2020-06-27	60	39	65.0	0	0.0	0	0
2020-06-28	60	38	63.3	0	0.0	0	0
2020-06-29	60	37	61.7	0	0.0	0	0
2020-06-30	60	41	68.3	0	0.0	0	0
2020-07-06	57	33	57.9	0	0.0	0	0
2020-07-05	60	36	60.0	0	0.0	0	0
2020-07-04	60	39	65.0	0	0.0	0	0
2020-07-03	60	42	70.0	0	0.0	0	0
2020-07-02	60	41	68.3	0	0.0	0	0
2020-07-01	60	43	71.7	0	0.0	0	0
