Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-194	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-193	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-192	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-191	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-190	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-189	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-188	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-187	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-186	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-185	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-184	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-183	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-182	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-181	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-180	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-03-11	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-03-12	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-03-13	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-03-14	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-03-15	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-03-16	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-03-17	0	0	0	0	0	0	0	0.0						0	0.0
-138	2020-03-18	2	0	2	0	0	0	0	0.0						0	0.0
-137	2020-03-19	2	0	0	0	0	0	0	0.0						0	0.0
-136	2020-03-20	2	0	0	0	0	0	0	0.0						0	0.0
-135	2020-03-21	2	0	0	0	0	0	0	0.0						0	0.0
-134	2020-03-22	3	0	1	0	0	0	0	0.0						0	0.0
-133	2020-03-23	3	0	0	0	0	0	0	0.0						0	0.0
-132	2020-03-24	3	0	0	0	0	0	0	0.0						0	0.0
-131	2020-03-25	12	0	9	0	0	0	0	0.0						0	0.0
-130	2020-03-26	16	0	4	0	0	0	0	0.0						0	0.0
-129	2020-03-27	22	0	6	0	1	0	0	0.0						1	0.0
-128	2020-03-28	28	0	6	0	1	0	0	0.0						1	0.0
-127	2020-03-29	29	0	1	0	1	0	0	0.0						1	0.0
-126	2020-03-30	35	0	6	0	2	0	0	0.0						1	0.0
-125	2020-03-31	35	0	0	0	2	0	0	0.0						1	0.0
-124	2020-04-01	36	0	1	0	2	0	0	0.0						1	0.0
-123	2020-04-02	39	1	3	1	2	0	0	0.058						1	0.06
-122	2020-04-03	39	1	0	0	2	0	0	0.0						0	0.06
-121	2020-04-04	39	1	0	0	2	0	0	0.0						0	0.06
-120	2020-04-05	39	1	0	0	2	0	0	0.0						0	0.06
-119	2020-04-06	39	1	0	0	2	0	0	0.0						0	0.06
-118	2020-04-07	39	1	0	0	2	0	0	0.0						0	0.06
-117	2020-04-08	39	1	0	0	2	0	0	0.0						0	0.06
-116	2020-04-09	39	1	0	0	2	0	0	0.0						0	0.0
-115	2020-04-10	40	2	1	1	2	0	0	0.058					0	0	0.06
-114	2020-04-11	40	2	0	0	2	0	0	0.0					1	0	0.06
-113	2020-04-12	43	2	3	0	2	0	0	0.0					2	0	0.06
-112	2020-04-13	45	2	2	0	2	0	0	0.0					3	0	0.06
-111	2020-04-14	45	2	0	0	2	0	0	0.0					4	0	0.06
-110	2020-04-15	48	2	3	0	2	0	0	0.0					5	0	0.06
-109	2020-04-16	48	2	0	0	2	0	0	0.0					6	0	0.06
-108	2020-04-17	52	2	4	0	2	0	0	0.0					7	0	0.0
-107	2020-04-18	57	2	5	0	3	0	0	0.0					8	0	0.0
